iter	Passed	Remaining
0	1	183
1	3	183
2	5	178
3	6	166
4	8	164
5	10	163
6	12	162
7	13	160
8	15	159
9	17	158
10	19	157
11	21	155
12	22	153
13	24	152
14	26	150
15	28	148
16	30	147
17	31	145
18	33	143
19	35	142
20	37	140
21	39	139
22	41	137
23	42	135
24	44	133
25	46	132
26	48	130
27	50	128
28	51	127
29	53	125
30	55	124
31	57	122
32	59	121
33	61	119
34	63	117
35	65	115
36	67	114
37	69	112
38	71	111
39	73	109
40	75	107
41	75	104
42	77	102
43	79	100
44	81	99
45	83	97
46	84	95
47	86	93
48	88	92
49	90	90
50	92	88
51	94	86
52	96	85
53	98	83
54	99	81
55	100	79
56	102	77
57	104	75
58	105	73
59	107	71
60	109	69
61	111	68
62	112	66
63	114	64
64	116	62
65	117	60
66	119	58
67	121	57
68	122	55
69	124	53
70	126	51
71	127	49
72	129	47
73	131	46
74	133	44
75	134	42
76	136	40
77	138	38
78	139	37
79	141	35
80	143	33
81	144	31
82	146	29
83	148	28
84	149	26
85	151	24
86	153	22
87	154	21
88	156	19
89	158	17
90	159	15
91	161	14
92	163	12
93	164	10
94	166	8
95	168	7
96	169	5
97	171	3
98	173	1
99	174	0
